id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO OTRO LIBRO TENER,"YO OTRO LIBRO TENER.
"
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,DM-SANTIAGO SU BOLSILLO MONEDA GUARDAR,dm-SANTIAGO SU BOLSILLO MONEDA GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,YO DELEGACIÓN ACTA LEVANTAR IR,YO DELEGACIÓN ACTA LEVANTAR IR
979,La sopa está caliente.,SOPA CALIENTE,SOPA ESTAR CALIENTE,SOPA ESTAR CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,ESTUDIAR TÚ DEBER CONTINUAR,ESTUDIAR TÚ DEBER CONTINUAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO EN TODO TÚ,"TÚ AFORTUNADO EN TODO TÚ.
"
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,CREDENCIAL INE TENER MIYO HUELLA,CREDENCIAL INE TENER MIYO HUELLA.
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TÚ INE TÚ MOSTRAR PODER PASAR,TÚ INE TÚ MOSTRAR PODER PASAR.
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA HACER MUCHO CALOR,VILLAHERMOSA HACER MUCHO CALOR
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA LIVERPOOL BOLSA-DE-MANO DESCUENTO HABER,MAÑANA LIVERPOOL BOLSA-DE-MANO DESCUENTO HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,YO MI PAPÁ CINTURÓN REGALAR,YO MI PAPÁ CINTURÓN REGALAR.
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,YO IR ESTUDIAR HASTA SECUNDARIA Y DESPUÉS YO QUERER TRABAJAR,YO IR ESTUDIAR HASTA SECUNDARIA Y DESPUÉS YO QUERER TRABAJAR.
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO PASTEL ÉL DAR MÍ NO,"AYER MI HERMANO PASTEL ÉL DAR MÍ NO.
"
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TÚ AUDIFONOS TÚ TENER ¿MÍ PRESTAR ELLOS?,TÚ AUDIFONOS TÚ TENER ¿MÍ PRESTAR ELLOS?
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MIS AMIGO ARGENTINO ANTROPOLOGÍA ESTUDIAR,MIS AMIGO ARGENTINO ANTROPOLOGÍA ESTUDIAR
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO DETRÁS MI ESPOSO,TU SOBRINO DETRÁS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,YO CENAR NAVIDAD COMERCIAL MEXICANA COMPRAR,YO CENAR NAVIDAD COMERCIAL MEXICANA COMPRAR
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,YO PASAR SEMÁFORO AHORA YO PAGAR MULTA,YO PASAR SEMÁFORO AHORA YO PAGAR MULTA.
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,ALICIA VIAJAR SUYO SUDAFRICA,ALICIA VIAJAR SUYO SUDAFRICA
878,En Cuba hace mucho calor,CUBA CALOR,CUBA MUCHO CALOR HACER,CUBA MUCHO CALOR HACER
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,NIÑO VER YA MONO ZOOLOGICO,NIÑO VER YA MONO ZOOLOGICO
