source,target
nosotros estamos alegres,nosotros alegres
no nos gusta platicar,nosotros platicar gustar no
"no, mi papá es oyente","no, papá mío oyente"
yo soy tímido,yo tímido así
le gusta caminar,ella caminar gustar
mi tío entiende la lsm,tío mío lsm entender
él quiere llorar,él llorar querer
ustedes son tímidos,ustedes tímidos así
la sudadera de mi mamá,mamá mía sudadera suya
les desagrada el chocolate,ellos chocolate gustar no
mi tía es profesora,tío mujer mía profesora
tu hermano es desesperado,hermano tuyo desesperado así
él aprende lsm,él lsm aprender
leyó una revista ayer,ayer él (ella) revista leer
tu tío es profesor,tío tuyo profesor
ellos viven en México,México ellos vivir
les desagrada caminar,ustedes caminar gustar no
a mi tío no le gusta el café,tío mío café gustar no
yo estudio en la biblioteca,biblioteca ahí yo estudiar
quieres adoptar un perro,tú perro adoptar querer
no puedo hacerlo,yo leche tomar poder no
ustedes quieren ir,ustedes ir querer
¿tu amigo es sordo?,¿amigo tuyo sordo?
su abuela era monja,abuelo mujer suyo(a) monja
ustedes son sordas,ustedes sordas
"no, ellas son sordas","no, ellas sordas"
"si, mi amigo es sordo","si, amigo mío sordo"
¿que hiciste en la tarde?,¿pasado noche tú hacer qué?
los focos,foco+foco+foco
mi tío es enojón,tío mío enojón así
tu prima es ingeniera,primo mujer tuya ingeniera
su novia,novia suya
las niñas están alegres,niño mujer ellas alegres
las mujeres,mujer ellas
él está feliz,él feliz
me gusta el color rosa,yo color rosa gustar
su amigo,amigo suyo
ustedes quieren comprar un auto,ustedes auto comprar querer
¿Hizo frío ayer?,¿ayer frío?
¿podrías hablar más alto por favor?,¿tú hablar más alto poder por favor?
mi tío es alegre,tío mío alegre así
tu amigo es distraído,amigo tuyo distraído así
su prima es baja,primo mujer suya baja
tu tía está preocupada,tío mujer tuya preocupada
los gatos están asustados,gato cl+cl+cl asustados
nuestro amigo está bien,amigo nuestro bien
leíste el periódico ayer,ayer tú periódico leer
bebe refresco,él (ella) refresco
nuestro gato,gato nuestro
el auto azul es grande,auto azul grande
mi novio está masomenos,novio mío masomenos
mis amigos son serios,amigo ellos míos serios
mi papá es artista,papá mío artista
mi novia fue a la biblioteca,pasado novio mujer mía biblioteca ir
el siempre está contento,siempre él contento
tu abuelo está bien,abuelo tuyo bien
les gusta aprender,ustedes aprender gustar
a tu abuela le gusta el café,abuelo mujer tuya café gustar
mi hermana come hamburguesa con papas en el restaurante,restaurante hermano mujer mía hamburguesa papas comer
mi tía está sorda,tío mujer mía sorda
está nevando en el campo,campo ahí nevar
te agrada pasear,tú pasear gustar
ellos fueron a la fiesta,pasado ellos fiesta ir
las mujeres están cansadas,mujer ellas cansadas
tu maestra,maestra tuya
los niños estaban ocupados ayer,ayer niño ellos ocupados
tu novia está preocupada,novio mujer tuya preocupada
hombre,hombre
¿qué harás el próximo lunes?,¿próximo lunes tú hacer qué?
mi novia no entiende el español,novio mujer mía español entender no
hermana,hermano mujer
ellas son científicas,ellas científicas
él no entiende,él entender no
hablamos ayer,ayer nosotros hablar
ellas aprenden lsm,ellas lsm aprender
mi hermana,hermano mujer mía
tú estás apenado,tú apenado
tu mamá quiere aprender lsm,mamá tuya lsm aprender querer
el anciano murió la semana pasada,semana pasada anciano morir
los perros son agresivos,perro cl+cl+cl agresivos
focos,foco+foco+foco
su papá lo regaña,papá suyo él regañar
tú eres agradable,tú agradable
mi,mío
ustedes entienden la lsm,ustedes lsm entender
su perro es café,perro suyo café
los niños quieren descansar,niño ellos descansar querer
mi maestro,maestro mío
fueron a la biblioteca,pasado ellos (ellas) (ustedes) universidad ir
los hombres están nerviosos,hombre ellos nerviosos
ella está hablando,ella hablar
mi tío toma café en la cafetería,cafetería ahí tío mío café tomar
mi primo estaba leyendo un periódico ayer,ayer primo mío periódico leer
nuestra amiga está preocupada,amigo mujer nuestra preocupada
somos altos,nosotros altos
mi hija quiere comer,hijo mujer mía comer querer
él no quiere un abrazo,él abrazo no querer
¿dónde vive tu abuela?,¿abuelo mujer vivir dónde?
tú no entiendes,tú entender no
tu novio es oyente,novio tuyo oyente
¿a dónde fuiste?,¿pasado tú ir dónde?
¿eres sordo?,¿tú sordo?
mi abuelo come una manzana,abuelo mío manzana comer
el niño se peina,niño él peinar
pocos perros juegan en el parque,parque ahí pocos perros jugar
tu tío es oyente,tío tuyo oyente
mi papá está distraído,papá mío distraído
él irá a la universidad,futuro él universidad ir
entendemos el italiano,nosotros italiano entender
mi papá estaba ocupado ayer,ayer papá ocupado
a mi mamá le gusta el café,mamá mía café gustar
mi tía quiere aprender a dibujar,tío mujer mía dibujar aprender querer
ellas son simpáticas,ellas simpáticas
mi tío es miedoso,tío mío miedoso así
ellos son miedosos,ellos miedosos así
algunas manzanas,manzana algunas
ustedes están distraídos,ustedes distraídos
irán a la universidad el próximo año,próximo año ellos (ellas) (ustedes) universidad ir
tu maestro es enojón,maestro enojón tuyo así
tu mamá vive en México,México mamá tuya vivir
¿trabajaste ayer?,¿ayer tú trabajar?
nuestra amiga,amigo mujer nuestra
"buenas días, ¿cómo están?","buenas tardes, ¿cómo estar ustedes?"
los niños cantan,niño ellos cantar
él estudiará frances mañana,mañana él frances estudiar
tu mamá es artista,mamá tuya artista
ellos están confundidos,ellos confundidos
mi novia irá a la biblioteca,futuro novio mujer mía biblioteca ir
mi abuelo quiere aprender francés,abuelo mío francés aprender querer
el niño,niño
"si, mi hermano es sordo","si, hermano mío sordo"
auto,auto
mi novia come yogur,novio mujer mío yogur comer
las niñas quieren comer,niño mujer ellas comer querer
yo estudio inglés todos los días,todos los días yo inglés estudiar
estamos locos,nosotros locos
él estudiará inglés mañana,mañana él inglés estudiar
mi amigo está bien,amigo mío bien
a tu hermano no le gusta el chocolate,hermano tuyo chocolate gustar no
está desesperado,él desesperado
sus amigos,hijo ellos suyo
él es gentil,él gentil
su novio,novio suyo
¿qué hiciste el sábado pasado?,¿sábado pasado tú hacer qué?
tu amigo es enojón,amigo tuyo enojón así
los niños quieren dulces,niño ellos dulces querer
mi tío,tío mío
no te gusta el chocolate,tú chocolate gustar no
mi hermano es abogado,hermano mío abogado
mi sobrina quiere aprender inglés,sobrino mujer mía inglés aprender querer
vaya,él ir
tu prima,primo mujer tuya
quiero trabajar,yo trabajar querer
ustedes son enojones,ustedes enojones así
mi hermano está bien,hermano mío bien
mi tío es abogado,tío mío abogado
nosotros queremos descansar,nosotros descansar querer
tu tío toma un café en la cafetería,cafetería tío tuyo café beber
a mi hermano le gusta el café,hermano mío café gustar
estudiaré en la biblioteca mañana,mañana biblioteca ahí yo estudiar
tu perro está agresivo,perro tuyo agresivo
nuestra sobrina,sobrino mujer nuestra
¿dónde está la plaza?,¿plaza dónde?
no me gusta la pizza hawaiana,yo pizza hawaiana gustar no
nos gusta el chocolate,nosotros chocolate gustar no
tu hermana es desesperado,hermano mujer tuya desesperada
"si, mi amiga es sorda","si, amigo mujer mía sorda"
mi novio está mal,novio mío mal
mi amigo está triste,amigo mío triste
tu abuela es tímida,abuelo mujer tuya tímida así
los niños son miedosos,niño ellos miedosos así
mi hermano quiere aprender lsm,hermano mío lsm aprender querer
ellos estudian en la biblioteca,biblioteca ahí ellos estudiar
ellas irán a la fiesta,futuro ellas fiesta ir
¿qué es eso?,¿eso qué?
te agrada sonreír,tú sonreír gustar
le gusta correr,ella correr gustar
les agrada caminar,ustedes caminar gustar
la mujer se arrepiente,mujer ella arrepentir
mi mamá es enojona,mamá mía enojona así
"hola, ¡gusto en conocerlos!",hola gustar conocer ellos
ellos son tranquilos,ellos tranquilos
bebo jugo de manzana,yo jugomanzana beber
tu amigo,amigo tuyo
él quiere comer,él comer querer
tu abuela está bien,abuelo mujer tuya bien
no queremos un abrazo,nosotros abrazo no querer
ayer nevó,ayer nevar
¿cómo está tu mamá?,¿cómo estar ellos?
él entiende,él entender
pocas lavadoras,lavadora pocas
"si, mi hija es sorda","si, hijo mujer mía sorda"
no hay espacio,espacio haber no
los niños están felices,niño ellos feliz
tú estás confundido,tú confundido
tu abuelo es distraído,abuelo tuyo distraído así
¿qué?,¿qué?
tu amiga es ingeniera,amigo mujer tuya ingeniera
tu tía es profesora,tío mujer tuya profesora
las sillas,silla+silla+silla
gato,gato
ayer estaba enferma,ayer yo enfermo
tu prima está enojada,primo mujer tuya enojada
mis tenis son blancos,tenis míos blancos
ellos estaban ocupados ayer,ayer ellos ocupados
queremos correr en la pista,pista ahí nosotros correr
mi novio fue a la biblioteca,pasado novio mío biblioteca ir
no hay leche,leche haber no
yo estoy alegre,yo alegre
mi tía es médico,tío mujer mía médico
mi hermana quiere aprender lsm,hermano mujer mía lsm aprender querer
mi abuelo está bien,abuelo mío bien
somos estudiantes,nosotros estudiantes
tu mamá es desesperada,mamá tuya desesperada así
tu hermana es profesora,hermano mujer tuya profesora
¿qué haces?,¿tú hacer qué?
ellos quieren llorar,ellos llorar querer
mi novia entiende,novio mujer mía entender no
tu tía está confundida,tío mujer tuya confundida
tu mamá es artista,mamá tuya artista
mi novia está mal,novio mujer mía mal
mi amiga entiende el español,amigo mujer mía español entender
mi abuela está masomenos,abuelo mujer mía masomenos
los árboles,árbol+árbol+árbol
él es alegre,él alegre así
tu maestro está enojado,maestro enojado tuyo
muchos focos,foco muchos
nos gusta el café,nosotros café gustar
mi tía corta el pasto seco,tío mujer mía pasto verde cortar
mi abuelo irá a la iglesia la próxima semana,próxima semana abuelo mío iglesia ir
estoy ocupado,yo ocupado
yo bebo cerveza,yo cerveza beber
ayer hacía frío,ayer frío
"no, él es oyente","no, él oyente"
somos tranquilos,nosotros tranquilos
podemos hacerlo,nosotros hacer poder
tu papá quiere aprender lsm,papá tuyo lsm aprender querer
la mujer está enojada,mujer enojada
mi tía quiere correr en la pista,pista ahí tío mujer mía correr
los tenis de mi tío son grandes,tenis suyos tío mío grandes
ella está feliz,ella feliz
tu tío come cereal,tío tuyo cereal comer
ella es enojona,ella enojona así
tu novio está triste,novio tuyo triste
ustedes están felices,ustedes felices
mi amigo es alegre,amigo mío alegre así
hay siete libros en el estante,estante ahí libros siete haber
a mi primo no le gusta el café,primo mío café gustar no
¿qué harás el próximo viernes?,¿próximo viernes tú hacer qué?
tu sobrina quiere aprender inglés,sobrino mujer tuya inglés aprender querer
mi novia no entiende,novio mujer mía entender no
nuestra tía,tío mujer nuestra
tu tía está apenada,tío mujer tuya apenada
no te gusta reír,tú reír gustar no
fue,pasado él ser
tú estás triste,tú triste
nosotros humanos,nosotros humanos
hay tres peras en el plato,plato ahí peras tres haber
nuestra familia,familia nuestra
él no entiende el español,él español entender no
no quieren un abrazo,ellos (as)/ustedes abrazo no querer
