id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,TU OTRO LIBRO TENER,TU OTRO LIBRO TENER
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,SANTIAGO GUARDAR SU BOLSILO MONEDA,SANTIAGO GUARDAR SU BOLSILO MONEDA UNA
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,YO IR LEVANTAR ACTA DELEGACIÓN,YO IR LEVANTAR ACTA DELEGACIÓN
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE VERDAD,SOPA CALIENTE VERDAD
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ SEGUI ESTUDIAR,TÚ SEGUI ESTUDIAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AORTUNADO VERDAD,TÚ AORTUNADO VERDAD
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,INE CREDENCIAL MI HUELLA TIENEN,INE CREDENCIAL MI HUELLA TIENEN
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TÚ DEBER TÚ MOSTRAR TU-INE PUDER PASAR,TÚ DEBER TÚ MOSTRAR TU-INE PUDER PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA CALOR MUCHO
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA LIVERPOOL BOLSA-MANO DESCUENTO HABER,MAÑANA LIVERPOOL BOLSA-MANO DESCUENTO HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,TU PAPÁ MI REGALAR CINTURÓN,TU PAPÁ MI REGALAR CINTURÓN
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,YO ESTUDIAR HASTA SECUNDARIA DESPUÉS TRABAJAR QUIERER,YO ESTUDIAR HASTA SECUNDARIA DESPUÉS TRABAJAR QUIERER
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO YO NO DÁ PASTEL,AYER MI HERMANO YO NO DÁ PASTEL
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TU AUDÍFONO PRESTARME PUEDE,TU AUDÍFONO PRESTARME PUEDE
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,SUYO AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍA,SUYO AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍA
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU HERMANO+MUJER O+NIEVE+A TRAS MI ESPOSO,TU HERMANO+MUJER O+NIEVE+A TRAS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,CENAR-DE-NAVIDAD COMPRAR YO COMERCIAL-MEXICANA,"""CENAR-DE-NAVIDAD COMPRAR YO COMERCIAL-MEXICANA"""
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,SEMAFORO PASAR YO AHORA MULTA TENER QUE PAGAR,SEMAFORO PASAR YO AHORA MULTA UNA TENER QUE PAGAR
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,DM-ALICIA VIAJAR SUDAFRICA,DM-ALICIA VIAJAR SUDAFRICA
878,En Cuba hace mucho calor,CUBA CALOR,CUBA CALOR MUCHO,CUBA CALOR MUCHO
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,NIÑO VER SUYO MONO ZOOLOGICO,NIÑO VER SUYO MONO ZOOLOGICO
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,FRASCO NO-HAY DULCE,FRASCO NO-HAY DULCE
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,YO YA COMPRAR JABÓN TIENDA IR,YO YA COMPRAR JABÓN TIENDA IR
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR,AYER YO COMPRAR COCA-COLA,AYER YO COMPRAR COCA-COLA
570,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR,MI TIO FRONTERA TIJUANA VIVIR,MI TIO FRONTERA TIJUANA VIVIR
800,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR,ESO FEYO PARECER VULGAR,ESO FEYO PARECER VULGAR
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,POLICIA-JUDICIAL NOS PROTEGER,POLICIA-JUDICIAL NOS PROTEGER
281,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR,ESO BONITO VERDAD YO GUSTAR,ESO BONITO VERDAD YO GUSTAR
379,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO,ALGUNA PERSONA ANALFABETA,ALGUNA PERSONA ANALFABETA
703,Ghana está en África.,ÁFRICA ADENTRO GHANA,GHANA ÁFRICA ESTAR,GHANA ÁFRICA ESTAR
136,La tienda más cercana está a dos cuadras.,TIENDA CERCA DOS CUADRAS,TIENDA CERCANO VERDAD DOS CUADRAS DISTANCIA ESTAR,TIENDA CERCANO VERDAD DOS CUADRAS DISTANCIA ESTAR
358,Adán es el primer hombre creado por Dios en el mundo.,ADÁN PRIMER HOMBRE MUNDO DIOS HACER,ADÁN PRIMERO HOMBRE DIOS CREAR MUNDO,ADÁN PRIMERO HOMBRE DIOS CREAR MUNDO
918,Mi viaje a Francia me emocionó.,YO VIAJE FRANCIA YO EMOCIONAR YA,MI VIAJE FRANCIA EMOCIONAR ME,MI VIAJE FRANCIA EMOCIONAR ME
138,La Biblioteca de México es muy grande.,MÉXICO BIBLIOTECA GRANDE,BIBLIOTECA MÉXICO GRANDE VERDAD,"""BIBLIOTECA MÉXICO GRANDE VERDAD"""
365,Le regalé un juguete a mi ahijado.,JUGUETE MI AHIJADO YO REGALAR ÉL YA,TU AHIJADO SUYO JUGUETE YO REGALAR,TU AHIJADO SUYO JUGUETE YO REGALAR
822,El calendario de la SEP termina en agosto.,SU #SEP CALENDARIO AGOSTO TERMINAR,AGOSTO CALENDARIO SEP NO-HAY,AGOSTO CALENDARIO SEP NO-HAY
624,El senador explica por qué la gasolina está cara.,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,SENADOR EXPLICAR GASOLINA CARA VERDAD,SENADOR EXPLICAR GASOLINA CARA VERDAD
326,Aimé saltó en paracaídas.,dm-AIMÉ SALTAR PARACAIDAS,AIMÉ SALTAR PARACAÍDA,AIMÉ SALTAR PARACAÍDA
472,Es fácil aprender las letras del abecedario.,FÁCIL APRENDER LETRA ABECEDARIO,LETRA ABC-EASILY APRENDER VERDAD,LETRA ABC-EASILY APRENDER VERDAD
761,Nuestra cita es en Taxqueña.,NUESTRA CITA LUGAR TAXQUEÑA,TODOS-NOSOTROS CITA TAXQUEÑA,TODOS-NOSOTROS CITA TAXQUEÑA
567,"Con mucho polvo, yo estornudo mucho.",POLVO YO MUCHO ESTORNUDAR,POLVO MUCHO YO ESTORNUDAR MUCHO,POLVO MUCHO YO ESTORNUDAR MUCHO
213,El disfraz está hecho de papel,DISFRAZ HACER. PAPEL,DISFRAS PAPEL HACER,DISFRAS PAPEL HACER
363,Mi hermano revisa su agenda diario.,DIARIO MI HERMANO AGENDA REVISAR,MI HERMANO SU AGENDA DIARIO REVISAR,MI HERMANO SU AGENDA DIARIO REVISAR
668,MI Mí familia y yo fuimos a Celaya.,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR,MI FAMILIA YO IR CELAYA,MI FAMILIA YO IR CELAYA
652,A mí no me gustan las ametralladoras.,AMETRALLADORA DIFERENTE YO NO-GUSTAR,A METRALLA NINGÚN YO GUSTAR,"""A METRALLA NINGÚN YO GUSTAR"""
479,Me mandas un mensaje de whatsapp en la noche.,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ,TÚ YO NOCHE WHATTASAPP MENSAJE ENVIAR,TÚ YO NOCHE WHATTASAPP MENSAJE ENVIAR
280,A mí sí me gusta jugar boliche.,SÍ YO GUSTAR JUGAR BOLICHE,MÍ SÍ YO GUSTAR JUGAR BOLICHE,MÍ SÍ YO GUSTAR JUGAR BOLICHE
857,Juan Gabriel nació en Ciudad Juárez.,dm-JUAN GABRIEL NACER CIUDAD JUÁREZ,DM-JUAN-GABRIEL NACER CIUDAD JUAREZ,DM-JUAN-GABRIEL NACER CIUDAD JUAREZ
811,Yo limpié la azotea de la casa.,CASA AZOTEAarriba YO LIMPIAR YA,YO AZOTE-HA DE-CASA LIMPIAR,YO AZOTE-HA DE-CASA LIMPIAR
696,Ayer fui a la galería.,AYER YO YA IR GALERÍA,AYER YO GALERIA IR,AYER YO GALERIA IR
916,Mi familia siempre dona a Teletón.,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,MI FAMILIA SIEMPRE TELETÓN DONAR,MI FAMILIA SIEMPRE TELETÓN DONAR
239,Necesito papel para absorber el agua.,YO NECESITAR PAPEL PARA AGUA ABSORBER,PAPEL AGUA ABSORBER NECESITAR,PAPEL AGUA ABSORBER NECESITAR
369,Mi vecino va diario a Alcohólicos Anónimos.,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,TODOS-DIARIO MI VECINO ALCOHOLICOS-ANONIMOS IR,TODOS-DIARIO MI VECINO ALCOHOLICOS-ANONIMOS IR
507,Mi hermano terminó con su novia.,MI HERMANO SUYA NOVIO+MUJER SEPARAR YA,MI HERMANO SU NOVIA TERMINAR,MI HERMANO SU NOVIA TERMINAR
312,Compré este celular ayer pero está muy corriente.,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE,AYER ESTE CELULAR YO COMPRAR PERO CORRIENTE VERDAD,AYER ESTE CELULAR YO COMPRAR PERO CORRIENTE VERDAD
133,Me gustan las fresas con crema.,FRESAS CON CREMA YO GUSTAR,FRESA CREMA GUSTAR YO,FRESA CREMA GUSTAR YO
719,El año pasado viajé a Guanajuato.,AÑO-PASADO YO VIAJAR GUANAJUATO,AYER PASADO YO VIAJAR GUANAJUATO,AYER PASADO YO VIAJAR GUANAJUATO
924,Mi primo ingresó a la universidad.,MI PRIMO UNIVERSIDAD YA INGRESAR,MI PRIMO UNIVERSIDAD ENTRAR,MI PRIMO UNIVERSIDAD ENTRAR
