id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,OTRO LIBRO YO TENER,OTRO LIBRO YO TENER
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,MONEDA SU BOLSILO GUARDAR,MONEDA SU BOLSILO GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,ACTA DELEGACIÓN YO IR,ACTA DELEGACIÓN YO IR
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ SEGUIR ESTUDIAR,TÚ SEGUIR ESTUDIAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO VERDAD TODOS,TÚ AFORTUNADO VERDAD TODOS
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,INE-CREDENCIAL MI HUELLA TIENEME,INE-CREDENCIAL MI HUELLA TIENEME
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,INE TÚ MOSTRAR PUDER PASAR_PODSAR,INE TÚ MOSTRAR PUDER PASAR_Podsar
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA CALOR MUCHO
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA LIVERPOOL BOLSA-DE-MANO DESCUENTO HABER,MAÑANA LIVERPOOL BOLSA-DE-MANO DESCUENTO HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,YO MI PAPÁ CINTURÓN REGALAR,YO MI PAPÁ CINTURÓN REGALAR
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,YO IR ESTUDIAR SECUNDARIA Y DESPUÉS QUERER TRABAJAR,YO IR ESTUDIAR SECUNDARIA Y DESPUÉS QUERER TRABAJAR
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER PASTEL TÚ RECIBIR NADA MI HERMANO,AYER PASTEL TÚ RECIBIR NADA MI HERMANO
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TÚ AUDÍFONO PRESTARME ¿PRESTAR?,"""TÚ AUDÍFONO PRESTARME ¿PRESTAR?"""
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MIS AMIGO ARGENTINA ESTUDIAR ANTROPOLOGÍA,MIS AMIGO ARGENTINA ESTUDIAR ANTROPOLOGÍA
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,NAVIDAD CENA COMPRAR EN DM-COMERCIAL-MEXICANA,NAVIDAD CENA COMPRAR EN dm-COMERCIAL-MEXICANA
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,SEMÁFORO YO PASAR AHORA YO TENER QUE PAGAR MULTA,"SEMÁFORO YO PASAR, AHORA YO TENER QUE PAGAR MULTA"
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,ALEJANDRA VIAJAR SUDAFRICA,"""ALEJANDRA VIAJAR SUDAFRICA""  

(Aquí hay un pequeño error en la traducción debido a que el nombre proporcionado para traducir es Alicia, pero se ha usado Alejandra en la respuesta. La correcta sería ""ALICIA VIAJAR SUDAFRICA"")"
878,En Cuba hace mucho calor,CUBA CALOR,CUBA CLIMA CALOR VERDAD,CUBA CLIMA CALOR VERDAD
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,ZOOLOGICO NIÑO VER MONO,ZOOLOGICO NIÑO VER MONO
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,FRASCO DULCES NO-HAY-NADIE,FRASCO DULCES NO-HAY-NADIE
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,TIENDA YO IR COMPRAR JABÓN,TIENDA YO IR COMPRAR JABÓN
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR,AYER COCA-COLA YO COMPRAR,AYER COCA-COLA YO COMPRAR
570,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR,MI TÍO FRONTERA TIJUANA VIVIR,MI TÍO FRONTERA TIJUANA VIVIR
800,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR,ESO FEO VULGAR PARECER,ESO FEO VULGAR PARECER
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,POLICÍA-JUDICIAL NOS PROTEGER,POLICÍA-JUDICIAL NOS PROTEGER
281,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR,ESA COSA BONITA VERDAD YO GUSTAR,ESA COSA BONITA VERDAD YO GUSTAR
379,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO,ALGUNAS PERSONAS SER ANAFLABETA,ALGUNAS PERSONAS SER ANAFLABETA
703,Ghana está en África.,ÁFRICA ADENTRO GHANA,GHANA ÁFRICA ESTAR,GHANA ÁFRICA ESTAR
136,La tienda más cercana está a dos cuadras.,TIENDA CERCA DOS CUADRAS,TIENDA CERCANA VERDAD DOS CUADRAS LEJOS,TIENDA CERCANA VERDAD DOS CUADRAS LEJOS
358,Adán es el primer hombre creado por Dios en el mundo.,ADÁN PRIMER HOMBRE MUNDO DIOS HACER,BIBLIA ADÁN PRIMERO HOMBRE CREAR DIOS MUNDO,"""BIBLIA ADÁN PRIMERO HOMBRE CREAR DIOS MUNDO"""
918,Mi viaje a Francia me emocionó.,YO VIAJE FRANCIA YO EMOCIONAR YA,MI VIAJE FRANCIA EMOCIONAR,MI VIAJE FRANCIA EMOCIONAR
138,La Biblioteca de México es muy grande.,MÉXICO BIBLIOTECA GRANDE,BIBLIOTECA MÉXICO ESE GRANDE VERDAD,BIBLIOTECA MÉXICO ESE GRANDE VERDAD
365,Le regalé un juguete a mi ahijado.,JUGUETE MI AHIJADO YO REGALAR ÉL YA,TU AHIJADO YO REGALAR JUGUETE,TU AHIJADO YO REGALAR JUGUETE
822,El calendario de la SEP termina en agosto.,SU #SEP CALENDARIO AGOSTO TERMINAR,AGOSTO CALENDARIO SEP TERMINAR,AGOSTO CALENDARIO SEP TERMINAR
624,El senador explica por qué la gasolina está cara.,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,SENADOR EXPLICAR GASOLINA CARA VERDAD,SENADOR EXPLICAR GASOLINA CARA VERDAD
326,Aimé saltó en paracaídas.,dm-AIMÉ SALTAR PARACAIDAS,AIMÉ SALTO PARACAÍDAS,AIMÉ SALTO PARACAÍDAS
