id,spa,mslg_real,mslg_pred,gloss_fol,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO TENER OTRO LIBRO,TENER OTRO LIBRO,YO TENER OTRO LIBRO
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,SU BOLSILO MONEDA TÚ GUARDAR,dm-SANTIAGO GUARDAR BOLSILLO MONEDA,SU BOLSILO MONEDA TÚ GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,DELEGACIÓN YO IR LEVANTAR ACTA,YO IR LEVANTAR ACTA DELEGACIÓN,DELEGACIÓN YO IR LEVANTAR ACTA
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ SEGUIR ESTUDIAR DEBER,DEBER SEGUIR ESTUDIAR,TÚ SEGUIR ESTUDIAR DEBER
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO MUY TODO,TÚ AFORTUNADO MUCHO TODO,TÚ AFORTUNADO MUY TODO
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,INE CREDENCIAL TENER MI HUELLA,CREDENCIAL INE TENER MI HUELLA,INE CREDENCIAL TENER MI HUELLA
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TU INE DEBER MOSTRAR PODER PASAR,DEBER MOSTRAR TU INE PODER PASAR,TU INE DEBER MOSTRAR Poder PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA DESCUENTO BOLSA-MANO LIVERPOOL HABER,MAÑANA HABER DESCUENTO BOLSA MANO LIVERPOOL,MAÑANA DESCUENTO BOLSA-MANO LIVERPOOL HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,MI PAPÁ CINTURÓN REGALAR,REGALÉ CINTURÓN MI PAPÁ,MI PAPÁ CINTURÓN REGALAR
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,ESTUDIAR HASTA SECUNDARIO+MUJER Y DESPUÉS QUERER TRABAJAR,DESPUÉS IR ESTUDIAR HASTA SECUNDARIO+MUJER Y QUERER TRABAJAR,ESTUDIAR HASTA SECUNDARIO+MUJER Y DESPUÉS QUERER TRABAJAR
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO NO YO DAR PASTEL,AYER MI HERMANO NO YO DAR PASTEL,AYER MI HERMANO NO YO DAR PASTEL
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TÚ TENER AUDÍFONO YO PRESTA ¿TU?,TÚ TENER AUDÍFONO YO PRESTA,TÚ TENER AUDÍFONO YO PRESTA ¿TU?
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MI AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍA+MUJER,MI AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍO+MUJER,MI AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍA+MUJER
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO DETRÁS MÍ ESPOSO,TU SOBRINO ATRÁS MI ESPOSO,TU SOBRINO DETRÁS MÍ ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,CENO+MUJER DM-NAVIDAD COMPRAR COMERCIAL MEXICANA,COMPRAR CENO+MUJER dm-NAVIDAD COMERCIAL MEXICANA,CENO+MUJER dm-NAVIDAD COMPRAR COMERCIAL MEXICANA
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,AHORA YO PASAR SEMÁFORO TENER QUE PAGAR MULTA,AHORA YO PASAR SEMÁFORO TENER PAGAR MULTO+MUJER,AHORA YO PASAR SEMÁFORO TENER QUE PAGAR MULTA
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,ALICIA IR SUDÁFRICA,ALICIA VIAJAR SUDÁFRICA,ALICIA IR SUDÁFRICA
878,En Cuba hace mucho calor,CUBA CALOR,CUBA CALOR MUCHO,CUBA MUCHO CALOR,CUBA CALOR MUCHO
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,ZOOLOGICO NIÑO VER MONO,NIÑO VER MONO ZOOLÓGICO,ZOOLOGICO NIÑO VER MONO
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,FRASCO NO-HAY-DULCE,NO HABER DULCE FRASCO,FRASCO NO-HAY-DULCE
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,JABÓN YO COMPRAR TIENDA IR,IR COMPRAR JABÓN TIENDA,JABÓN YO COMPRAR TIENDA IR
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR,AYER YO COMPRAR COCA-COLA,AYER YO COMPRAR COCO+MUJER dm-COLA,AYER YO COMPRAR COCA-Cola
570,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR,MI TÍO FRONTERA VIVIR TIJUANA,MI TÍO VIVIR FRONTERO+MUJER TIJUANA,MI TÍO FRONTERA VIVIR TIJUANA
800,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR,ESE FEO PARECER VULGAR,ESE FEO VULGAR,ESE FEO PARECER VULGAR
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,POLICÍA-JUDICIAL NOS PROTEGER,POLICIO+MUJER JUDICIAL YO PROTEGER,POLICÍA-JUDICIAL NOS PROTEGER
281,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR,ESE BONITO SÍ YO GUSTAR MUCHO,ESE BONITO SÍ YO MUCHO GUSTAR,ESE BONITO SÍ YO GUSTAR MUCHO
379,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO,ALGUNAS PERSONAS ANALFABETO,ALGUNO PERSONA ANALFABETO+MUJER,ALGUNAS PERSONAS ANALFABETO
703,Ghana está en África.,ÁFRICA ADENTRO GHANA,GHANA ÁFRICA SUYO,GHANA ÁFRICA,GHANA ÁFRICA SUYO
136,La tienda más cercana está a dos cuadras.,TIENDA CERCA DOS CUADRAS,TIENDA MÁS-CERCANO DOS CUADRA+MUJER ESTAR,TIENDA MÁS CERCANO DOS CUADRO+MUJER,TIENDA MÁS-CERCANO DOS CUADRA+MUJER ESTAR
358,Adán es el primer hombre creado por Dios en el mundo.,ADÁN PRIMER HOMBRE MUNDO DIOS HACER,DM-ADÁN PRIMERO HOMBRE CREADO DM-DIOS MUNDO CREAR,dm-ADÁN PRIMERO HOMBRE CREADO dm-DIOS MUNDO,DM-ADÁN PRIMERO HOMBRE CREADO DM-DIOS MUNDO CREAR
918,Mi viaje a Francia me emocionó.,YO VIAJE FRANCIA YO EMOCIONAR YA,FRANCIA YO VIAJAR EMOCIONADO,MI VIAJE FRANCIA YO EMOCIONAR,FRANCIA YO VIAJAR EMOCIONADO
138,La Biblioteca de México es muy grande.,MÉXICO BIBLIOTECA GRANDE,MÉXICO BIBLIOTECA ESE MUY GRANDE,BIBLIOTECA MÉXICO MUCHO GRANDE,MÉXICO BIBLIOTECA ESE MUY GRANDE
365,Le regalé un juguete a mi ahijado.,JUGUETE MI AHIJADO YO REGALAR ÉL YA,REGALAR JUGUETE MI AHIJADO,REGALAR JUGUETE MI AHIJADO,REGALAR JUGUETE MI AHIJADO
822,El calendario de la SEP termina en agosto.,SU #SEP CALENDARIO AGOSTO TERMINAR,AGOSTO CALENDARIO SEP TERMINAR,CALENDARIO SEP TERMINAR AGOSTO,AGOSTO CALENDARIO SEP TERMINAR
624,El senador explica por qué la gasolina está cara.,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,SENADOR EXPLICAR PORQUÉ GASOLINA CARA VERDAD,SENADOR EXPLICAR QUÉ GASOLINO+MUJER CARA,SENADOR EXPLICAR PORQUÉ GASOLINA CARA VERDAD
326,Aimé saltó en paracaídas.,dm-AIMÉ SALTAR PARACAIDAS,DM-AIMÉ SALTAR PARACAÍDAS,dm-AIMÉ SALTAR PARACAÍDAS,DM-AIMÉ SALTAR PARACAÍDAS
472,Es fácil aprender las letras del abecedario.,FÁCIL APRENDER LETRA ABECEDARIO,FÁCIL APRENDER LETRO ABECEDARIO,FÁCIL APRENDER LETRO+MUJER ABECEDARIO,FÁCIL APRENDER LETRO ABECEDARIO
761,Nuestra cita es en Taxqueña.,NUESTRA CITA LUGAR TAXQUEÑA,NOSOTROS CITO TAXQUEÑA,NUESTRO CITO+MUJER TAXQUEÑA,NOSOTROS CITO TAXQUEÑA
567,"Con mucho polvo, yo estornudo mucho.",POLVO YO MUCHO ESTORNUDAR,MUCHO POLVO YO ESTORNUDO MUCHO,POLVO YO MUCHO ESTORNUDO,MUCHO POLVO YO ESTORNUDO MUCHO
213,El disfraz está hecho de papel,DISFRAZ HACER. PAPEL,DISFRAZ PAPEL HECHO,DISFRAZ HECHO PAPEL,DISFRAZ PAPEL HECHO
363,Mi hermano revisa su agenda diario.,DIARIO MI HERMANO AGENDA REVISAR,MI HERMANO REVISAR SU AGENDA DIARIO,MI HERMANO REVISAR AGENDO+MUJER DIARIO,MI HERMANO REVISAR SU AGENDA DIARIO
668,MI Mí familia y yo fuimos a Celaya.,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR,MI DM-MÍ FAMILIO+MUJER Y YO CELAYA IR,MI dm-MÍ FAMILIO+MUJER Y YO IR CELAYA,MI dm-MÍ FAMILIO+MUJER Y YO CELAYA IR
652,A mí no me gustan las ametralladoras.,AMETRALLADORA DIFERENTE YO NO-GUSTAR,YO NO GUSTAR AMETRALLADORA,YO NO YO GUSTAR AMETRALLADORO+MUJER,YO NO GUSTAR AMETRALLADORA
479,Me mandas un mensaje de whatsapp en la noche.,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ,YO RECIBIR MENSAGEM DM-WHATSAPP NOCHE,YO MANDAR MENSAJE dm-WHATSAPP NOCHE,YO RECIBIR MENSAGEM dm-WHATSAPP NOCHE
280,A mí sí me gusta jugar boliche.,SÍ YO GUSTAR JUGAR BOLICHE,YO SÍ YO GUSTAR JUGAR BOLICHE,YO SÍ YO GUSTAR JUGAR BOLICHE,YO SÍ YO GUSTAR JUGAR BOLICHE
857,Juan Gabriel nació en Ciudad Juárez.,dm-JUAN GABRIEL NACER CIUDAD JUÁREZ,CIUDAD-JUÁREZ DM-JUAN-GABRIEL NACER,dm-JUAN dm-GABRIEL NACER CIUDAD JUÁREZ,CIUDAD-JUÁREZ dm-JUAN-GABRIEL NACER
811,Yo limpié la azotea de la casa.,CASA AZOTEAarriba YO LIMPIAR YA,AZOTEACASA YO LIMPIAR,YO LIMPIAR AZOTEO+MUJER CASA,AZOTEACASA YO LIMPIAR
696,Ayer fui a la galería.,AYER YO YA IR GALERÍA,AYER YO IR GALERÍO+MUJER,AYER IR GALERÍO+MUJER,AYER YO IR GALERÍO+MUJER
916,Mi familia siempre dona a Teletón.,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,SIEMPRE MI FAMILIA DONAR TELETON,SIEMPRE MI FAMILIO+MUJER DONAR TELETÓN,SIEMPRE MI FAMILIA DONAR TELETON
239,Necesito papel para absorber el agua.,YO NECESITAR PAPEL PARA AGUA ABSORBER,PAPEL PARA AGUA ABSORBER YO NECESITAR,NECESITAR PAPEL ABSORBER AGUA,PAPEL PARA AGUA ABSORBER YO NECESITAR
369,Mi vecino va diario a Alcohólicos Anónimos.,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,MI VECINO DIARIO ALCOHÓLICOS-ANÓNIMOS IR,MI VECINO IR DIARIO ALCOHÓLICOS ANÓNIMOS,MI VECINO DIARIO ALCOHÓLICOS-ANÓNIMOS IR
507,Mi hermano terminó con su novia.,MI HERMANO SUYA NOVIO+MUJER SEPARAR YA,MI HERMANO SU NOVIO+MUJER TERMINAR-COMO-AMIGOS,MI HERMANO TERMINAR NOVIO+MUJER,MI HERMANO SU NOVIO+MUJER TERMINAR-COMO-AMIGOS
312,Compré este celular ayer pero está muy corriente.,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE,AYER ESTE CELULAR YO COMPRAR PERO CORRIENTE VERDAD,AYER COMPRAR ESTE CELULAR PERO MUCHO CORRIENTE,AYER ESTE CELULAR YO COMPRAR PERO CORRIENTE VERDAD
133,Me gustan las fresas con crema.,FRESAS CON CREMA YO GUSTAR,FRESO+MUJER CON CREMA YO GUSTAR,YO GUSTAR FRESO+MUJER CREMA,FRESO+MUJER CON CREMA YO GUSTAR
719,El año pasado viajé a Guanajuato.,AÑO-PASADO YO VIAJAR GUANAJUATO,AÑO-PASADO YO VIAJAR GUANAJUATO,AÑO PASADO VIAJAR GUANAJUATO,AÑO-PASADO YO VIAJAR GUANAJUATO
924,Mi primo ingresó a la universidad.,MI PRIMO UNIVERSIDAD YA INGRESAR,MI PRIMO UNIVERSIDAD+MUJER INGRESAR,MI PRIMO INGRESAR UNIVERSIDAD+MUJER,MI PRIMO UNIVERSIDAD+MUJER INGRESAR
782,Hay muchos policías en la manifestación.,MUCHOS POLICÍA HABER MANIFESTACIÓN,POLICÍA HABER MUCHO MANIFESTACIÓN,HABER POLICÍA MUCHO MANIFESTACIÓN+MUJER,POLICÍA HABER MUCHO MANIFESTACIÓN
906,En el refrigerador hay comida caducada.,REFRIGERADOR HABER COMIDA CADUCADA,REFRIGERADOR HABER COMIDO CADUCADO,REFRIGERADOR HABER COMIDO+MUJER CADUCADO,REFRIGERADOR HABER COMIDO CADUCADO
3,¿Y eso?,¿Y-ESO?,¿Y ESO?,Y ESE,"MSLG: ""¿Y ESO?"""
466,La India es el séptimo país más grande del mundo.,INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO,INDIA SÉPTIMO PAÍS GRANDE MUNDO,INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO,INDIA SÉPTIMO PAÍS GRANDE MUNDO
597,El gobernador colocó mucha publicidad por las calles.,HOMBRE GOBERNADOR PUBLICIDAD COLOCAR COLOCAR CALLES,GOBERNADOR COLOCAR MUCHO PUBLICIDAD CALLE,GOBERNADOR COLOCAR MUCHO PUBLICIDAD+MUJER CALLE,GOBERNADOR COLOCAR MUCHO PUBLICIDAD CALLE
