id,mslg,spa_real,spa_pred,raw_response
486,OTRO LIBRO YO TENER,Tengo otro libro.,Tengo otro libro.,Tengo otro libro.
83,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,Santiago guarda en su bolsillo una moneda.,Santiago guarda la moneda en el bolsillo.,Santiago guarda la moneda en el bolsillo.
352,DELEGACIÓN YO YA IR ACTA LEVANTAR,Yo fui a levantar un acta a la delegación.,Ya fui a la delegación a levantar un acta.,Ya fui a la delegación a levantar un acta.
979,SOPA CALIENTE,La sopa está caliente.,La sopa está caliente.,La sopa está caliente.
790,TÚ DEBER SEGUIR ESTUDIAR,Debes seguir estudiando.,Debes seguir estudiando.,Debes seguir estudiando.
525,TODO AFORTUNADO,Tú eres muy afortunado en todo.,Todo es afortunado.,Todo es afortunado.
464,CREDENCIAL VOTAR HABER MI HUELLA,La credencial del INE tiene mi huella.,Mi credencial de votación tiene mi huella.,Mi credencial de votación tiene mi huella.
728,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,Debes mostrar tu INE para poder pasar.,Debes mostrar tu INE para obtener permiso de paso.,Debes mostrar tu INE para obtener permiso de paso.
799,VILLAHERMOSA MUCHO CALOR,En Villahermosa hace mucho calor.,En Villahermosa hace mucho calor.,En Villahermosa hace mucho calor.
419,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,Mañana habrá descuentos en bolsas de mano en Liverpool.,Mañana en Liverpool hay descuento en bolsas de mano.,Mañana en Liverpool hay descuento en bolsas de mano.
854,MI PAPÁ CINTURÓN YO REGALAR ÉL,Le regalé un cinturón a mi papá.,Mi papá me regaló un cinturón.,Mi papá me regaló un cinturón.
619,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,Voy a estudiar hasta secundaria y después quiero trabajar.,Estudié hasta secundaria y después deseaba trabajar.,Estudié hasta secundaria y después deseaba trabajar.
909,AYER MI HERMANO PASTEL ÉL DAR MÍ,Mi hermano no me dio pastel ayer.,Ayer mi hermano me dio un pastel.,Ayer mi hermano me dio un pastel.
270,"AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO","Tú tienes unos audífonos, ¿me los prestas?","¿Me prestas los audífonos que tienes, sí o no?","¿Me prestas los audífonos que tienes, sí o no?"
383,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,Mis amigos argentinos estudiaron antropología.,Mis amigos en Argentina ya estudian antropología.,Mis amigos en Argentina ya estudian antropología.
404,TUYO SOBRINO ATRÁS MI ESPOSO,Tu sobrino está atrás de mi esposo.,Tu sobrino está detrás de mi esposo.,Tu sobrino está detrás de mi esposo.
863,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,Compraré la cena de Navidad en la Comercial Mexicana.,Compré la cena de Navidad en Comercial Mexicana.,Compré la cena de Navidad en Comercial Mexicana.
199,SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,"Me pasé un semáforo, ahora tengo que pagar una multa.",Pasé el semáforo en rojo y ahora debo pagar una multa.,Pasé el semáforo en rojo y ahora debo pagar una multa.
628,dm-ALICIA YA VIAJAR SUDÁFRICA,Alicia viajó a Sudáfrica.,Alicia ya viajó a Sudáfrica.,Alicia ya viajó a Sudáfrica.
878,CUBA CALOR,En Cuba hace mucho calor,En Cuba hace calor.,En Cuba hace calor.
298,ENTRAR ANIMAL NIÑO VER MONO,El niño ve un mono en el zoológico.,El niño vio entrar un mono al lugar.,El niño vio entrar un mono al lugar.
208,FRASCO DULCES NO-HAY,No hay dulces en el frasco.,No hay dulces en el frasco.,No hay dulces en el frasco.
470,YO IR TIENDA COMPRAR JABÓN YA,Fui a comprar jabón a la tienda.,Fui a la tienda a comprar jabón.,Fui a la tienda a comprar jabón.
859,AYER COCA-COLA YO COMPRAR,Yo compré una Coca Cola ayer.,Ayer compré una Coca-Cola.,Ayer compré una Coca-Cola.
570,FRONTERA TIJUANA MÍ TÍO VIVIR,"Mi tío vive en la frontera, en Tijuana.",Mi tío vive en la frontera de Tijuana.,Mi tío vive en la frontera de Tijuana.
800,ESO FEO PARECE VULGAR,"Eso es feo, parece vulgar.",Eso parece feo y vulgar.,Eso parece feo y vulgar.
783,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,La policia judicial nos protege.,El agente de policía nos protege.,El agente de policía nos protege.
281,ESO BONITO SÍ YO GUSTAR,"Eso es muy bonito, sí me gusta.","Eso es bonito, sí me gusta.","Eso es bonito, sí me gusta."
